z_over_L,feed_pressure_pa,permeate_pressure_pa,feed_flow_kmol_s,permeate_flow_kmol_s,x_H2,y_H2,x_C2H4,y_C2H4,x_CH4,y_CH4,x_C2H6,y_C2H6,x_C3H8,y_C3H8
0.09875,4240000.0,799763.6656957063,0.002429951285507554,0.0001421189856139339,0.006853196576421193,0.031851293396701015,0.06695834003717195,0.07493111285002398,0.5740895758953345,0.6144992435948727,0.24384528434560437,0.19580047559627248,0.108253603145468,0.08291787456213176
0.10125,4240000.0,799761.500917786,0.002433534452941022,0.00014570402334731797,0.006901161305357227,0.03204940489867041,0.06696967916044434,0.0749239114060646,0.5741442699493099,0.6144134277130433,0.2437704620787814,0.1957284081747725,0.10821442750610727,0.0828848478074472
0.10375,4240000.0,799759.2827826838,0.0024371194906744062,0.00014929095992089738,0.006949707471583967,0.032249669599648374,0.06698096000282217,0.07491653416175933,0.5741985021625867,0.6143261932824677,0.24369558896502033,0.195655945274201,0.10817524139798669,0.08285165768192333
0.10625,4240000.0,799757.0112580772,0.0024407064272479856,0.00015287982444143946,0.006998844365228931,0.03245211840476191,0.06699218196163735,0.07490897869819542,0.5742522673651186,0.6142375205763041,0.2436206625875374,0.19558308073834033,0.10813604372047766,0.08281830158239807
0.10875,4240000.0,799754.6863111536,0.0024442952917685277,0.00015647064659482296,0.0070485814526388526,0.032656782743728824,0.06700334442167562,0.07490124255494894,0.5743055602809177,0.6141473895302482,0.24354568048931413,0.19550980830848116,0.10809683335545357,0.08278477686259313
0.11125,4240000.0,799752.307908601,0.002447886113921911,0.0001600634566589782,0.007098928380142592,0.032863694580754166,0.0670144467549117,0.07489332322929951,0.574358375525821,0.6140557797361523,0.24347064017222073,0.19543612162148952,0.10805760916690393,0.08275108083230533
0.11375,4240000.0,799749.876016598,0.0024514789239860665,0.00016365828551714477,0.0071498949779016645,0.03307288642462517,0.0670254883202385,0.07488521817542924,0.5744107076052022,0.6139626704355231,0.2433955390961178,0.19536201420784402,0.10801837000053992,0.08271721075657983
0.11625,4240000.0,799747.3906008038,0.002455073752844233,0.00016725516467145382,0.007201491263850627,0.03328439133900834,0.06703646846318968,0.07487692480360528,0.5744625509116308,0.6138680405128892,0.24332037467793843,0.1952874794896332,0.10797911468339047,0.0826831638548658
0.11875,4240000.0,799744.8516263478,0.002458670631998542,0.00017085412625684852,0.0072537274477295,0.0334982429529524,0.06704738651565588,0.07486844047934549,0.5745138997224769,0.6137718684890371,0.2432451442907485,0.19521251077850707,0.10793984202338934,0.0826489373001578
0.12125,4240000.0,799742.2590578191,0.0024622695935839368,0.00017445520305534295,0.007306613935210557,0.0337144754716026,0.06705824179559397,0.07485976252256975,0.5745647481974576,0.6136741325141059,0.24316984526278518,0.19513710127359982,0.10790055080895258,0.08261452821812103
0.12375,4240000.0,799739.6128592564,0.002465870670382431,0.00017805842851064237,0.007360161332121837,0.033933123687128044,0.06706903360672986,0.07485088820673004,0.5746150903761276,0.6135748103605488,0.2430944748764741,0.19506124405939762,0.1078612398085465,0.0825799336861954
0.12625,4240000.0,799736.912994136,0.0024694738958377306,0.00018166383674311998,0.0074143804487697695,0.03415422298986907,0.06707976123825372,0.07484181475792791,0.5746649201753087,0.6134738794159437,0.2430190303674225,0.19498493210357631,0.10782190777024528,0.0825451507326843
0.12875,4240000.0,799734.159425361,0.0024730793040702082,0.00018527146256516963,0.007469282304363417,0.03437780937970717,0.0670904239645086,0.07483253935400976,0.5747142313864595,0.6133713166756742,0.24294350892339,0.19490815825478583,0.10778255342127858,0.08251017633582407
0.13125,4240000.0,799731.3521152501,0.002476686929892258,0.00018888134149693848,0.007524878131542856,0.034603919477663204,0.06710102104467104,0.07482305912364665,0.5747630176729828,0.6132670987354538,0.2428679076832348,0.19483091524039864,0.10774317546756858,0.08247500742283749
0.13375,4240000.0,799728.4910255257,0.0024802968088240267,0.0001924935097824534,0.007581179381014339,0.03483259053772749,0.06711155172242454,0.07481337114539517,0.574811272567469,0.6131612017837051,0.24279222373583562,0.19475319566420635,0.10770377259325643,0.08243964086896717
0.13625,4240000.0,799725.5761173017,0.0024839089771095417,0.00019610800440615465,0.007638197726294884,0.03506386045892612,0.06712201522562511,0.07480347244673766,0.574858989468874,0.6130536015937733,0.24271645411898835,0.1946749920040764,0.10766434346021764,0.08240407349648689
0.13875,4240000.0,799722.6073510712,0.002487523471733243,0.000199724863109835,0.007695945068569039,0.03529776779763044,0.06713241076595865,0.0747933600031064,0.5749061616396295,0.612944273516004,0.242640595818277,0.19459629660956212,0.10762488670756588,0.08236830207369804
0.14125,4240000.0,799719.5846866942,0.0024911403304369232,0.00020334412441001424,0.007754433541660698,0.03553435178011089,0.06714273753859057,0.07478303073688411,0.5749527822026848,0.612833192469642,0.24256464576591832,0.19451710169945927,0.1075854009511457,0.08233232331390365
0.14375,4240000.0,799716.5080833846,0.0024947595917371025,0.00020696582761574192,0.007813675517122769,0.03577365231534363,0.06715299472180658,0.07477248151638927,0.5749988441384785,0.6127203329345866,0.24248860083957913,0.19443739935932017,0.10754588478301302,0.08229613387436098
0.14625,4240000.0,799713.3774996969,0.00249838129494283,0.00021059001284685777,0.00787368360944775,0.03601571000807178,0.0671631814766453,0.0747617091548354,0.5750443402818376,0.6126056689429593,0.24241245786116578,0.19435718153891593,0.10750633677090358,0.08225973035521703
0.14875,4240000.0,799710.192893513,0.002502005480173946,0.00021421672105270424,0.007934470681402217,0.03626056617212922,0.06717329694652163,0.07475071040927445,0.5750892633188016,0.6124891740705258,0.24233621359558546,0.19427644004965078,0.10746675545768904,0.08222310929841979
0.15125,4240000.0,799706.9542220284,0.0025056321883797925,0.00021784599403131943,0.007996049849488363,0.0365082628440295,0.06718334025684156,0.07473948197951523,0.5751336057833716,0.6123708214279273,0.2422598647494783,0.19419516656192107,0.10742713936082013,0.08218626718660808
0.15375,4240000.0,799703.6614417377,0.0025092614613584077,0.00022147787444911412,0.008058434489535802,0.03675884279682647,0.06719331051460718,0.07472802050702267,0.5751773600541812,0.6122505836517468,0.24218340796991913,0.19411335260242268,0.10738748697175676,0.08214920044198132
0.15625,4240000.0,799700.3145084206,0.0025128933417762024,0.0002251124058610457,0.008121638242426912,0.037012349554252165,0.06720320680801271,0.07471632257379462,0.5752205183510868,0.612128432895395,0.24210683984308887,0.19403098955141168,0.10734779675538474,0.08211190542514632
0.15875,4240000.0,799696.9133771273,0.002516527873188134,0.0002287496327313108,0.008185675019959144,0.03726882740513575,0.06721302820603049,0.07470438470121425,0.5752630727316768,0.6120043408198095,0.24203015689291474,0.19394806863990177,0.10730806714941883,0.08207437843393961
0.16125,4240000.0,799693.4580021627,0.002520165100058399,0.00023238960045456362,0.008250559010847702,0.037528321418110196,0.06722277375798699,0.07469220334888065,0.5753050150876962,0.6118782785839697,0.24195335557967776,0.19386458094681092,0.1072682965637914,0.08203661570222856
0.16375,4240000.0,799689.9483370718,0.002523805067781652,0.00023603235537767277,0.008316304686872208,0.03779087745661269,0.06723244249312862,0.07467977491341773,0.575346337141385,0.6117502168352277,0.24187643229858727,0.19378051739605184,0.10722848338002691,0.08199861339868872
0.16625,4240000.0,799686.3843346231,0.002527447822704761,0.00023967794482204026,0.008382926809170995,0.03805654219418243,0.06724203342017715,0.07466709572725663,0.5753870304417282,0.6116201256994402,0.24179938337832196,0.19369586875356448,0.1071886259506015,0.08196036762555575
0.16875,4240000.0,799682.765946793,0.0025310934121491285,0.0002433264171064907,0.008450440434686736,0.03832536313006332,0.0672515455268742,0.07465416205739463,0.5754270863606161,0.6114879747709007,0.24172220507953568,0.19361062562428863,0.1071487225982872,0.08192187441735296
0.17125,4240000.0,799679.093124749,0.002534741884433579,0.00024697782157074785,0.008518860922767322,0.038597388605116655,0.06726097777951473,0.07464097010412957,0.5754664960889093,0.6113537331020794,0.24164489359332791,0.1935247784490784,0.10710877161548073,0.08188312973959605
0.17375,4240000.0,799675.3658188327,0.002538393288897836,0.00025063220859951546,0.008588203941925892,0.03887266781804968,0.06727032912246915,0.07462751599976951,0.575505250632411,0.6112173691931552,0.24156744503967756,0.19343831750155696,0.10706877126351637,0.08184412948746904
0.17625,4240000.0,799671.5839785424,0.0025420476759266037,0.00025428962964718074,0.008658485476764092,0.03915125084196578,0.06727959847769396,0.07461379580731553,0.5755433408077402,0.6110788509813347,0.24148985546583956,0.19335123288490738,0.10702871977196217,0.08180486948447704
0.17875,4240000.0,799667.7475525155,0.002545705096974269,0.0002579501372631564,0.008729721835062692,0.03943318864124227,0.06728878474423039,0.0745998055191187,0.5755807572381043,0.6109381458299696,0.24141212084470287,0.19326351452859927,0.1069886153378997,0.08176534548107081
0.18125,4240000.0,799663.8564885103,0.0025493656045902447,0.0002616137851178765,0.008801929655043861,0.039718533088742666,0.06729788679769068,0.07458554105551089,0.5756174903489704,0.6107952205174457,0.24133423707310886,0.1931751521850547,0.10694845612518625,0.08172555315324533
0.18375,4240000.0,799659.9107333871,0.0025530292524449647,0.00026528062802946796,0.008875125912809471,0.040007336983368495,0.06730690348973208,0.07457099826340767,0.5756535303636289,0.6106500412258622,0.2412561999701298,0.19308613542625025,0.10690824026369965,0.08168548810111162
0.18625,4240000.0,799655.9102330897,0.002556696095356556,0.00026895072199111577,0.008949327929959906,0.04029965406795769,0.0673158336475178,0.07455617291488381,0.5756888672986513,0.6105025735294751,0.24117800527530608,0.19299645364024548,0.10686796584856487,0.08164514584743866
0.18875,4240000.0,799651.8549326251,0.002560366189318204,0.00027262412419914225,0.009024553381398012,0.040595539047535094,0.06732467607316485,0.07454106070571954,0.5757234909592349,0.6103527823829277,0.24109964864684028,0.19290609602764816,0.10682763093936197,0.08160452183616808
0.19125,4240000.0,799647.744776044,0.0025640395915262305,0.0002763008930818118,0.00910082030332289,0.040895047607923084,0.06733342954317825,0.07452565725392132,0.5757573909344357,0.6102006321092383,0.24102112565974804,0.19281505159801574,0.10678723355931499,0.08156361143090156
0.19375,4240000.0,799643.5797064204,0.0025677163604089,0.00027998108832890094,0.009178147101418448,0.04119823643471598,0.06734209280787165,0.07450995809820816,0.5757905565922831,0.6100460863875472,0.24094243180396505,0.1927233091661737,0.10674677169446173,0.08152240991335494
0.19625,4240000.0,799639.3596658303,0.002571396555655989,0.0002836647709220301,0.009256552559241595,0.04150516323262816,0.06735066459077328,0.07449395869647353,0.5758229770747756,0.6098891082406352,0.24086356248240678,0.19263085734847712,0.10670624329280275,0.081480912481786
0.19875,4240000.0,799635.0845953303,0.0025750802382491183,0.0002873520031657986,0.00933605584681531,0.04181588674521981,0.0673591435880178,0.07447765442421292,0.5758546412927535,0.6097296600221883,0.24078451300898282,0.19253768455898865,0.10666564626343054,0.08143911424939085
0.20125,4240000.0,799630.754434936,0.002578767470492887,0.0002910428487197382,0.009416676529431726,0.04213046677500787,0.06736752846772269,0.07446104057292208,0.5758855379206462,0.6095677034038144,0.240705278606562,0.19244377900558787,0.10662497847563737,0.08139701024266832
0.20375,4240000.0,799626.3691235989,0.0025824583160468264,0.00029473737263110327,0.009498434576670668,0.04244896420396981,0.06737581786934964,0.07444411234846443,0.5759156553910897,0.609403199361807,0.2406258544048886,0.19234912868600482,0.10658423775800144,0.08135459539975368
0.20625,4240000.0,799621.9285991838,0.0025861528399581915,0.0002984356413685309,0.009581350371639175,0.04277144101444545,0.06738401040305003,0.07442686486940553,0.5759449818894115,0.609236108163653,0.24054623543844814,0.19225372138377717,0.1065434218974511,0.08131186456872054
0.20875,4240000.0,799617.4327984448,0.002589851108695619,0.0003021377228565915,0.009665444720437635,0.04309796031044437,0.06739210464899431,0.07440929316531489,0.575973505347981,0.6090663893542636,0.24046641664428098,0.19215754466412863,0.10650252863830623,0.08126881250584866
0.21125,4240000.0,799612.8816570012,0.0025935531901836797,0.0003058436865112481,0.009750738861858359,0.04342858633936677,0.06740009915668467,0.07439139217503594,0.576001213440418,0.6088940017419642,0.2403863928597427,0.19206058586977168,0.10646155568129631,0.08122543387386182
0.21375,4240000.0,799608.2751093131,0.0025972591538383364,0.00030955360327626635,0.009837254477322597,0.04376338451414246,0.06740799244425091,0.07437315674492088,0.5760280935756612,0.6087189033841854,0.2403061588202104,0.1919628321166224,0.10642050068255489,0.08118172324012853
0.21625,4240000.0,799603.6130886553,0.0026009690706033546,0.0003132675456605826,0.009925013701062028,0.04410242143579772,0.06741578299772873,0.07435458162703237,0.576054132891888,0.6085410515728954,0.24022570915673194,0.19186427028944425,0.10637936125258922,0.08113767507483108
