z_over_L,feed_pressure_pa,permeate_pressure_pa,feed_flow_kmol_s,permeate_flow_kmol_s,x_N2,y_N2,x_O2,y_O2,x_CO2,y_CO2,x_H2O,y_H2O
0.1825,991436.6729453458,100000.0,0.0006113063659290802,6.839874180808783e-05,0.9244759975260274,0.7732183622897141,0.07551399145830043,0.22673176039676077,1.0011015672323771e-05,4.987731352576601e-05,3.5550344269200816e-21,3.0533335532076696e-20
0.1875,991477.0200840243,100000.0,0.0006132175274132572,7.031368114759375e-05,0.9239059073820539,0.7723057373590595,0.07608388427594928,0.22764369923683306,1.0208341996878497e-05,5.056340410720312e-05,3.907478200984771e-21,3.333746870135946e-20
0.1925,991517.4944787723,100000.0,0.0006151324667527631,7.223242275256286e-05,0.9233324901987368,0.7713906171955789,0.07665709954303651,0.2285581209999603,1.0410258226687685e-05,5.126180446204047e-05,4.310896717522705e-21,3.6524453307353817e-20
0.1975,991558.096399145,100000.0,0.0006170512083577322,7.415499107411632e-05,0.9227557428302291,0.7704730142882413,0.07723364029877133,0.22947501296804723,1.0616870999705023e-05,5.197274371226026e-05,4.774226351771415e-21,4.015822179344294e-20
0.2025,991598.8261164369,100000.0,0.0006189737766792856,7.608141060318067e-05,0.9221756623091081,0.7695529412877837,0.07781350940163806,0.23039436225724524,1.0828289253904227e-05,5.269645497086446e-05,5.3081812019613395e-21,4.4314888737342157e-20
0.2075,991639.6839036836,100000.0,0.00062090019620835,7.801170586929835e-05,0.9215922458474883,0.7686304110058424,0.0783967095282415,0.23131615581875628,1.1044624270104179e-05,5.3433175400420284e-05,5.925640957369328e-21,4.908530662423531e-20
0.2125,991680.6700356643,100000.0,0.0006228304914744677,7.994590143943004e-05,0.9210054908381108,0.7677054364140634,0.07898324317217371,0.23224038043966366,1.1265989715393841e-05,5.418314627217345e-05,6.642129675301247e-21,5.457819929052903e-20
0.2175,991721.7847889037,100000.0,0.0006247646870445994,8.188402191674864e-05,0.9204153948554099,0.7667780306431872,0.07957311264290282,0.23316702274378737,1.149250168716029e-05,5.494661302572832e-05,7.476408038599046e-21,6.092401166857496e-20
0.2225,991763.0284416733,100000.0,0.000626702807521918,8.382609193942423e-05,0.9198219556565584,0.7658482069821018,0.08016632006468388,0.2340960691925697,1.1724278757723135e-05,5.572382532929405e-05,8.451207542693933e-21,6.827964941761934e-20
0.2275,991804.4012739941,100000.0,0.0006286448775445936,8.577213617940197e-05,0.9192251711824877,0.7649159788768773,0.08076286737549278,0.23502750608598275,1.1961442019578447e-05,5.651503714049409e-05,9.594142531569473e-21,7.683432616888354e-20
0.2325,991845.903567638,100000.0,0.0006305909217845713,8.77221793411714e-05,0.9186250395588861,0.7639813599297671,0.08136275632598268,0.2359613195634644,1.2204115131255194e-05,5.7320506767738674e-05,1.0938845511952145e-20,8.68167919450986e-20
0.2375,991887.5356061291,100000.0,0.0006325409649463407,8.96762461605285e-05,0.9180215590971719,0.7630443638981892,0.08196598847846424,0.2368974956048781,1.2452424363787122e-05,5.814049693215742e-05,1.2526383300307067e-20,9.850428704149848e-20
0.2425,991929.2976747456,100000.0,0.0006344950317656978,9.163436140332973e-05,0.9174147282954429,0.7621050046936699,0.08257256520590919,0.2378360200315006,1.2706498647802793e-05,5.897527483009089e-05,1.4407027040689624e-20,1.1223365538570095e-19
0.2475,991971.1900605209,100000.0,0.0006364531470084991,9.359654986424023e-05,0.9168045458394006,0.7611632963807736,0.08318248769097825,0.23877687850703025,1.2966469621236502e-05,5.982511219613755e-05,1.664246893309728e-20,1.284151654047793e-19
0.2525,992013.2130522451,100000.0,0.0006384153354694096,9.556283636547199e-05,0.9161910106032493,0.7602192531760054,0.08379575692507309,0.2397200565386286,1.3232471677662526e-05,6.0690285366756426e-05,1.9308603873527405e-20,1.4754973150309368e-19
0.2575,992055.3669404662,100000.0,0.0006403816219706413,9.753324575551827e-05,0.9155741216505713,0.7592728894466783,0.08441237370741354,0.24066553947797814,1.3504642015255163e-05,6.157107534441931e-05,2.2499026737045968e-20,1.702504141264845e-19
0.2625,992097.6520174913,100000.0,0.0006423520313606876,9.950780290787927e-05,0.9149538782351744,0.7583242197097666,0.0850323386441393,0.24161331252237128,1.3783120686376732e-05,6.246776786231289e-05,2.632943781991611e-20,1.9726931231130565e-19
0.2675,992140.0685773873,100000.0,0.0006443265885130486,0.00010148653271978118,0.9143302798019148,0.7573732586307285,0.08565565214743737,0.24256336071582227,1.4068050647795741e-05,6.338065344958648e-05,3.0943202704839756e-20,2.295312641115021e-19
0.2725,992182.6169159819,100000.0,0.0006463053183249505,0.00010346946011089006,0.9137033259874934,0.7564200210222998,0.08628231443469515,0.2435156689502026,1.4359577811537126e-05,6.431002749714192e-05,3.651838204560291e-20,2.681761561218296e-19
0.2775,992225.2973308647,100000.0,0.0006482882457160594,0.00010545661002201812,0.913073016621224,0.7554645218432742,0.08691232552767952,0.24447022196640195,1.4657851096366408e-05,6.525619032396361e-05,4.3276636066078426e-20,3.146121377300113e-19
0.2825,992268.1101213878,100000.0,0.0006502753956271874,0.00010744800741382531,0.9124393517257781,0.7545067761972442,0.08754568525174207,0.2454270043555122,1.49630224799095e-05,6.621944724398356e-05,5.149452390355535e-20,3.70582670144721e-19
0.2875,992311.0555886658,100000.0,0.0006522667930189946,0.0001094436772655135,0.9118023315178974,0.7535467993313285,0.08818239323505123,0.24638600056003793,1.5275247051409588e-05,6.720010863347976e-05,6.151786708419404e-20,4.38251155371421e-19
0.2925,992354.1340355771,100000.0,0.0006542624628706828,0.0001114436445735159,0.9111619564090836,0.7525846066348718,0.08882244890785126,0.24734719487512907,1.559468306512259e-05,6.819848999900226e-05,7.378003956568129e-20,5.203079389696021e-19
0.2975,992397.3457667638,100000.0,0.0006562624301786852,0.00011344793435018189,0.9105182270062572,0.7516202136381196,0.08946585150174843,0.24831057144983493,1.5921491994352287e-05,6.921491204582298e-05,8.882529720719504e-20,6.201058312389611e-19
0.3025,992440.6910886322,100000.0,0.0006582667199553512,0.00011545657162245521,0.9098711441123895,0.7506536360108693,0.09011260004902448,0.24927611428838467,1.625583858612626e-05,7.024970074690663e-05,1.0733858461595326e-19,7.418320336678101e-19
0.3075,992484.1703093528,100000.0,0.0006602753572276245,0.00011746958143054773,0.9092207087271055,0.7496848895610987,0.09076269338197812,0.25024380725148987,1.6597890916513503e-05,7.130318741239655e-05,1.3018367984403963e-19,8.907266071612666e-19
0.3125,992527.7837388605,100000.0,0.0006622883670357171,0.00011948698882660916,0.9085669220472591,0.7487139902335722,0.09141613013229449,0.2512136340576685,1.6947820446584446e-05,7.237570875961118e-05,1.5845208722178466e-19,1.073360527048854e-18
0.3175,992571.5316888546,100000.0,0.0006643057744317785,0.00012150881887338977,0.9079097854674782,0.7477409541084212,0.0920729087304428,0.2521855782845955,1.7305802079013895e-05,7.346760698354797e-05,1.9352580488948202e-19,1.297990134467688e-18
0.3225,992615.4144727981,100000.0,0.0006663276044785591,0.00012353509664290204,0.9072493005806819,0.7467657973997031,0.09273302740510278,0.25315962337046977,1.767201421532739e-05,7.45792298278861e-05,2.371580277833092e-19,1.575009672002798e-18
0.3275,992659.4324059185,100000.0,0.0006683538822480714,0.0001255658472150761,0.9065854691785667,0.7457885364539367,0.09339648418261962,0.2541357526154074,1.8046638813790995e-05,7.571093065648642e-05,2.9157706659250024e-19,1.917529919987594e-18
0.3325,992703.5858052064,100000.0,0.0006703846328202454,0.00012760109567641132,0.9059182932520641,0.7448091877486195,0.09406327688648804,0.2551139491828554,1.842986144794473e-05,7.68630685253813e-05,3.5962035754983303e-19,2.3421191687567552e-18
0.3375,992747.8749894158,100000.0,0.0006724198812815806,0.00012964086711862472,0.9052477749917685,0.7438277678907177,0.09473340313686578,0.2560941961010277,1.8821871365779402e-05,7.803600825524894e-05,4.449075240832167e-19,2.8697534475109664e-18
0.3425,992792.3002790626,100000.0,0.000674459652723794,0.0001316851866372961,0.904573916788334,0.7428442936151362,0.0954068603501165,0.2570764762643597,1.922286154955651e-05,7.923012050436606e-05,5.520641838774285e-19,3.527036837049264e-18
0.3475,992836.8619964251,100000.0,0.0006765039722424654,0.00013373407933050857,0.9038967212328416,0.7418587817831704,0.09608364573838217,0.2580607724349877,1.9633028776270663e-05,8.0445781842034e-05,6.870117776397994e-19,4.347770811073244e-18
0.3525,992881.5604655421,100000.0,0.0006785528649356779,0.00013578757029748822,0.9032161911171356,0.7408712493809325,0.09676375630918566,0.25904706724424525,2.0052573678753848e-05,8.168337482247008e-05,8.573433979993818e-19,5.374975177722272e-18
0.3575,992926.3960122128,100000.0,0.0006806063559026575,0.00013784568463723855,0.9025323294341292,0.7398817135177588,0.09744718886506344,0.2600353431941822,2.0481700807420615e-05,8.29432880591599e-05,1.0728117741584508e-18,6.6634940350205006e-18
0.3625,992971.3689639955,100000.0,0.0006826644702424079,0.00013990844744717437,0.9018451393780791,0.7388901914245979,0.09813394000322828,0.26102558265910236,2.092061869265306e-05,8.42259162996617e-05,1.3459636904708324e-18,8.283360452721104e-18
0.3675,993016.4796502059,100000.0,0.0006847272330523437,0.00014197588382175235,0.9011546243448293,0.7378967004523784,0.09882400611526286,0.26201776788712067,2.1369539907824278e-05,8.553166050085748e-05,1.6929658074285298e-18,1.0324146297292154e-17
0.3725,993061.728401917,100000.0,0.0006867946694269217,0.00014404801885109953,0.9004607879320234,0.7369012580703549,0.09951738338684357,0.2630118810017407,2.1828681132958817e-05,8.686092790464326e-05,2.134680935822778e-18,1.290059260796011e-17
0.3775,993107.1155519568,100000.0,0.0006888668044562689,0.00014612487761964002,0.8997636339392855,0.7359038818644354,0.10021406779749555,0.2640079040034509,2.2298263219028444e-05,8.821413211405114e-05,2.698072381403325e-18,1.615990632283706e-17
0.3825,993152.6414349072,100000.0,0.0006909436632248093,0.00014820648520472038,0.8990631663683686,0.7349045895354922,0.10091405512037854,0.2650058187713382,2.277851125288124e-05,8.959169316979514e-05,3.4180384767321273e-18,2.0291227685319087e-17
0.3875,993198.3063871026,100000.0,0.0006930252708098897,0.00015029286667523332,0.8983593894232734,0.7339033988976517,0.10161734092210382,0.26600560706472115,2.3269654622801943e-05,9.099403762723411e-05,4.3398117713691995e-18,2.5537928223217363e-17
0.3925,993244.1107466278,100000.0,0.0006951116522804026,0.0001523840470902399,0.8976523075103328,0.7329003278765649,0.1023239205625825,0.26700725052480134,2.3771927084701173e-05,9.242159863374314e-05,5.522100113569244e-18,3.221360352272358e-17
