z_over_L,feed_pressure_pa,permeate_pressure_pa,feed_flow_kmol_s,permeate_flow_kmol_s,x_fast,y_fast,x_mid,y_mid,x_slow,y_slow
0.193,1000000.0,165182.09939476455,0.0011747402784425265,0.0002176645085396647,2.0307797784945442e-06,9.080219820371957e-06,0.06407797633502059,0.19938795384558958,0.9359199928852009,0.8006029659345895
0.195,1000000.0,165159.3065895224,0.0011772018913315386,0.00022013219111580021,2.0763091283481424e-06,9.253222698386273e-06,0.06452796718950393,0.20030615306924937,0.9354699565013677,0.7996845937080522
0.197,1000000.0,165136.25442501632,0.0011796695739076741,0.00022260600003787907,2.1232433989360865e-06,9.43095499326738e-06,0.06498141352575403,0.20122877244592013,0.9350164632308471,0.7987617965990866
0.199,1000000.0,165112.94215168135,0.001182143382829753,0.00022508599238700328,2.171632183644524e-06,9.613567198156697e-06,0.06543833623488075,0.2021558182231361,0.9345594921329357,0.797834568209666
0.201,1000000.0,165089.36901234085,0.0011846233751788772,0.00022757222566774013,2.221526956637884e-06,9.80121499759381e-06,0.0658987562072269,0.20308729639453318,0.9340990222658165,0.7969029023904688
0.203,1000000.0,165065.53424214502,0.001187109608459614,0.000230064757809268,2.2729811470389097e-06,9.994059454603022e-06,0.06636269432972242,0.20402321269618692,0.9336350326891305,0.7959667932443582
0.205,1000000.0,165041.4370685092,0.001189602140601142,0.00023256364716649268,2.3260502160860025e-06,1.0192267204650074e-05,0.06683017148319563,0.2049635726029469,0.9331675024665883,0.7950262351298479
0.207,1000000.0,165017.07671105166,0.0011921010299583666,0.00023506895252112042,2.3807917373873606e-06,1.0396010656721411e-05,0.06730120853964149,0.2059083813247775,0.9326964106686211,0.7940812226645658
0.209,1000000.0,164992.45238153113,0.0011946063353129944,0.0002375807330827021,2.4372654803961375e-06,1.0605468201786416e-05,0.06777582635944696,0.20685764380309454,0.9322217363750727,0.7931317507287031
0.211,1000000.0,164967.56328378382,0.001197118115874576,0.00024009904848963485,2.4955334972356983e-06,1.0820824428913341e-05,0.06825404578857301,0.20781136470710854,0.9317434586779296,0.7921778144684628
0.213,1000000.0,164942.4086136601,0.0011996364312815088,0.00024262395881013098,2.555660213009183e-06,1.104227034931845e-05,0.06873588765569373,0.20876954843016776,0.9312615566840934,0.7912194092994825
0.215,1000000.0,164916.98755896091,0.001202161341602005,0.00024515552454314356,2.6177125197328086e-06,1.127000362863884e-05,0.069221372769292,0.2097321990861109,0.9307760095181882,0.7902565309102606
0.217,1000000.0,164891.29929937355,0.0012046929073350175,0.0002476938066192598,2.6817598740378715e-06,1.1504228827728611e-05,0.06971052191471247,0.2106993205056188,0.9302867963254136,0.7892891752655533
0.219,1000000.0,164865.3430064073,0.0012072311894111337,0.00025023886640154725,2.747874398792034e-06,1.1745157652290016e-05,0.07020335585117085,0.21167091623257986,0.9297938962744303,0.7883173386097682
0.221,1000000.0,164839.11784332848,0.0012097762491934212,0.00025279076568636807,2.8161309887964246e-06,1.1993009211660962e-05,0.07069989530872058,0.21264698952045608,0.9292972885602907,0.787341017470332
0.223,1000000.0,164812.62296509536,0.001212328148478242,0.0002553495667041444,2.8866074207211514e-06,1.22480102870929e-05,0.0712001609851759,0.21362754332866526,0.9287969524074033,0.7863602086610478
